text,path,num_frames,width,height,trajectory_maps_path,videoid,mask_start_index,mask_end_index,box_path
a group of four pandas engaged in play.,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/16,6084240e75fa_16,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/16
four playful pandas interacting with each other.,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/17,6084240e75fa_17,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/17
the quartet of pandas playfully romping around.,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/18,6084240e75fa_18,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/18
"the woman holding a child, walking toward us.",/datadrive2/MeViS_release/train/JPEGImages/a1cf2056d6a5,61,1280,720,/datadrive2/MeViS_release/train/masks/a1cf2056d6a5/0,a1cf2056d6a5_0,0,60,/datadrive2/MeViS_release/train/boxes/a1cf2056d6a5/0
"the lady with a child in her arms, approaching us.",/datadrive2/MeViS_release/train/JPEGImages/a1cf2056d6a5,61,1280,720,/datadrive2/MeViS_release/train/masks/a1cf2056d6a5/1,a1cf2056d6a5_1,0,60,/datadrive2/MeViS_release/train/boxes/a1cf2056d6a5/1
the female figure carrying a child and moving in our direction.,/datadrive2/MeViS_release/train/JPEGImages/a1cf2056d6a5,61,1280,720,/datadrive2/MeViS_release/train/masks/a1cf2056d6a5/2,a1cf2056d6a5_2,0,60,/datadrive2/MeViS_release/train/boxes/a1cf2056d6a5/2
"the woman embracing a child, coming towards us.",/datadrive2/MeViS_release/train/JPEGImages/a1cf2056d6a5,61,1280,720,/datadrive2/MeViS_release/train/masks/a1cf2056d6a5/3,a1cf2056d6a5_3,0,60,/datadrive2/MeViS_release/train/boxes/a1cf2056d6a5/3
the lady holding a child and walking towards this direction.,/datadrive2/MeViS_release/train/JPEGImages/a1cf2056d6a5,61,1280,720,/datadrive2/MeViS_release/train/masks/a1cf2056d6a5/4,a1cf2056d6a5_4,0,60,/datadrive2/MeViS_release/train/boxes/a1cf2056d6a5/4
"the woman with a child, advancing towards us.",/datadrive2/MeViS_release/train/JPEGImages/a1cf2056d6a5,61,1280,720,/datadrive2/MeViS_release/train/masks/a1cf2056d6a5/5,a1cf2056d6a5_5,0,60,/datadrive2/MeViS_release/train/boxes/a1cf2056d6a5/5
"the woman walking from between a few horses and crossing the road, then heading to the left.",/datadrive2/MeViS_release/train/JPEGImages/a1cf2056d6a5,61,1280,720,/datadrive2/MeViS_release/train/masks/a1cf2056d6a5/6,a1cf2056d6a5_6,0,60,/datadrive2/MeViS_release/train/boxes/a1cf2056d6a5/6
the lady passing through the midst of several horses on the road and proceeding to the left.,/datadrive2/MeViS_release/train/JPEGImages/a1cf2056d6a5,61,1280,720,/datadrive2/MeViS_release/train/masks/a1cf2056d6a5/7,a1cf2056d6a5_7,0,60,/datadrive2/MeViS_release/train/boxes/a1cf2056d6a5/7
"the female individual moving between some horses and walking across the street, then turning left.",/datadrive2/MeViS_release/train/JPEGImages/a1cf2056d6a5,61,1280,720,/datadrive2/MeViS_release/train/masks/a1cf2056d6a5/8,a1cf2056d6a5_8,0,60,/datadrive2/MeViS_release/train/boxes/a1cf2056d6a5/8
four pandas in a playful and lively mood.,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/19,6084240e75fa_19,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/19
"among a group of horses, the woman crosses the road and continues walking to the left.",/datadrive2/MeViS_release/train/JPEGImages/a1cf2056d6a5,61,1280,720,/datadrive2/MeViS_release/train/masks/a1cf2056d6a5/9,a1cf2056d6a5_9,0,60,/datadrive2/MeViS_release/train/boxes/a1cf2056d6a5/9
"walking through the space between a few horses, the woman crosses the road and moves towards the left.",/datadrive2/MeViS_release/train/JPEGImages/a1cf2056d6a5,61,1280,720,/datadrive2/MeViS_release/train/masks/a1cf2056d6a5/10,a1cf2056d6a5_10,0,60,/datadrive2/MeViS_release/train/boxes/a1cf2056d6a5/10
"the woman, coming from between several horses, crosses the road and proceeds in the leftward direction.",/datadrive2/MeViS_release/train/JPEGImages/a1cf2056d6a5,61,1280,720,/datadrive2/MeViS_release/train/masks/a1cf2056d6a5/11,a1cf2056d6a5_11,0,60,/datadrive2/MeViS_release/train/boxes/a1cf2056d6a5/11
shirtless man standing,/datadrive2/MeViS_release/train/JPEGImages/f1971cf6d362,90,640,480,/datadrive2/MeViS_release/train/masks/f1971cf6d362/0,f1971cf6d362_0,0,89,/datadrive2/MeViS_release/train/boxes/f1971cf6d362/0
woman in red dress turning around and putting white tape on chest of shirtless man,/datadrive2/MeViS_release/train/JPEGImages/f1971cf6d362,90,640,480,/datadrive2/MeViS_release/train/masks/f1971cf6d362/1,f1971cf6d362_1,0,89,/datadrive2/MeViS_release/train/boxes/f1971cf6d362/1
a man waiting for hair removal,/datadrive2/MeViS_release/train/JPEGImages/f1971cf6d362,90,640,480,/datadrive2/MeViS_release/train/masks/f1971cf6d362/2,f1971cf6d362_2,0,89,/datadrive2/MeViS_release/train/boxes/f1971cf6d362/2
shirtless man staying,/datadrive2/MeViS_release/train/JPEGImages/f1971cf6d362,90,640,480,/datadrive2/MeViS_release/train/masks/f1971cf6d362/3,f1971cf6d362_3,0,89,/datadrive2/MeViS_release/train/boxes/f1971cf6d362/3
hands knitting,/datadrive2/MeViS_release/train/JPEGImages/79302cad93c7,90,854,480,/datadrive2/MeViS_release/train/masks/79302cad93c7/0,79302cad93c7_0,0,89,/datadrive2/MeViS_release/train/boxes/79302cad93c7/0
hands are knitting,/datadrive2/MeViS_release/train/JPEGImages/79302cad93c7,90,854,480,/datadrive2/MeViS_release/train/masks/79302cad93c7/1,79302cad93c7_1,0,89,/datadrive2/MeViS_release/train/boxes/79302cad93c7/1
man kneeling on the floor untying dumbbells,/datadrive2/MeViS_release/train/JPEGImages/06e8192fc586,90,854,480,/datadrive2/MeViS_release/train/masks/06e8192fc586/0,06e8192fc586_0,0,89,/datadrive2/MeViS_release/train/boxes/06e8192fc586/0
a man kneeling and fixing weights,/datadrive2/MeViS_release/train/JPEGImages/06e8192fc586,90,854,480,/datadrive2/MeViS_release/train/masks/06e8192fc586/1,06e8192fc586_1,0,89,/datadrive2/MeViS_release/train/boxes/06e8192fc586/1
person sitting motionless,/datadrive2/MeViS_release/train/JPEGImages/ccab2f9b76b4,90,854,480,/datadrive2/MeViS_release/train/masks/ccab2f9b76b4/0,ccab2f9b76b4_0,0,89,/datadrive2/MeViS_release/train/boxes/ccab2f9b76b4/0
baby standing with hands on pole,/datadrive2/MeViS_release/train/JPEGImages/ccab2f9b76b4,90,854,480,/datadrive2/MeViS_release/train/masks/ccab2f9b76b4/1,ccab2f9b76b4_1,0,89,/datadrive2/MeViS_release/train/boxes/ccab2f9b76b4/1
a sitting lady,/datadrive2/MeViS_release/train/JPEGImages/ccab2f9b76b4,90,854,480,/datadrive2/MeViS_release/train/masks/ccab2f9b76b4/2,ccab2f9b76b4_2,0,89,/datadrive2/MeViS_release/train/boxes/ccab2f9b76b4/2
a baby pushing a trolley,/datadrive2/MeViS_release/train/JPEGImages/ccab2f9b76b4,90,854,480,/datadrive2/MeViS_release/train/masks/ccab2f9b76b4/3,ccab2f9b76b4_3,0,89,/datadrive2/MeViS_release/train/boxes/ccab2f9b76b4/3
human sitting motionless,/datadrive2/MeViS_release/train/JPEGImages/ccab2f9b76b4,90,854,480,/datadrive2/MeViS_release/train/masks/ccab2f9b76b4/4,ccab2f9b76b4_4,0,89,/datadrive2/MeViS_release/train/boxes/ccab2f9b76b4/4
baby staying with hands on pole,/datadrive2/MeViS_release/train/JPEGImages/ccab2f9b76b4,90,854,480,/datadrive2/MeViS_release/train/masks/ccab2f9b76b4/5,ccab2f9b76b4_5,0,89,/datadrive2/MeViS_release/train/boxes/ccab2f9b76b4/5
person seated motionless,/datadrive2/MeViS_release/train/JPEGImages/ccab2f9b76b4,90,854,480,/datadrive2/MeViS_release/train/masks/ccab2f9b76b4/6,ccab2f9b76b4_6,0,89,/datadrive2/MeViS_release/train/boxes/ccab2f9b76b4/6
a seated lady,/datadrive2/MeViS_release/train/JPEGImages/ccab2f9b76b4,90,854,480,/datadrive2/MeViS_release/train/masks/ccab2f9b76b4/7,ccab2f9b76b4_7,0,89,/datadrive2/MeViS_release/train/boxes/ccab2f9b76b4/7
a baby shoving a trolley,/datadrive2/MeViS_release/train/JPEGImages/ccab2f9b76b4,90,854,480,/datadrive2/MeViS_release/train/masks/ccab2f9b76b4/8,ccab2f9b76b4_8,0,89,/datadrive2/MeViS_release/train/boxes/ccab2f9b76b4/8
human seated motionless,/datadrive2/MeViS_release/train/JPEGImages/ccab2f9b76b4,90,854,480,/datadrive2/MeViS_release/train/masks/ccab2f9b76b4/9,ccab2f9b76b4_9,0,89,/datadrive2/MeViS_release/train/boxes/ccab2f9b76b4/9
elephant drinking water then walking into pool,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/0,43ea9f5846c9_0,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/0
elephant walking around then into pool,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/1,43ea9f5846c9_1,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/1
small animal floating in water,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/2,43ea9f5846c9_2,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/2
elephant walking around,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/3,43ea9f5846c9_3,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/3
"elephant stand and drink water, then walk towards the water",/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/4,43ea9f5846c9_4,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/4
"elephant moves around, then drinks water, then walks towards the water",/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/5,43ea9f5846c9_5,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/5
elephant swim in the water,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/6,43ea9f5846c9_6,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/6
elephant moves around,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/7,43ea9f5846c9_7,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/7
first elephant at the water's edge,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/8,43ea9f5846c9_8,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/8
run over and follow the elephant into the water,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/9,43ea9f5846c9_9,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/9
an elephant in the water,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/10,43ea9f5846c9_10,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/10
elephant walking in the distance,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/11,43ea9f5846c9_11,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/11
drinking water then run into the pool,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/12,43ea9f5846c9_12,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/12
"run towards us then run back, then run into the pool",/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/13,43ea9f5846c9_13,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/13
the two elephants that descend from the shore into the water pool.,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/14,43ea9f5846c9_14,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/14
the pair of elephants that submerge from the bank into the pool.,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/15,43ea9f5846c9_15,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/15
the two elephants that transition from the shoreline to the water pool.,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/16,43ea9f5846c9_16,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/16
the duo of elephants that descend into the water pool from the bank.,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/17,43ea9f5846c9_17,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/17
the pair of elephants that move from the edge of the water into the pool.,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/18,43ea9f5846c9_18,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/18
the young elephant that remains in the water.,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/19,43ea9f5846c9_19,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/19
the small elephant that stays submerged in the water.,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/20,43ea9f5846c9_20,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/20
the little elephant that continues to be in the water.,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/21,43ea9f5846c9_21,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/21
the baby elephant that remains in the water all along.,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/22,43ea9f5846c9_22,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/22
the tiny elephant that stays in the water without moving.,/datadrive2/MeViS_release/train/JPEGImages/43ea9f5846c9,100,1920,1080,/datadrive2/MeViS_release/train/masks/43ea9f5846c9/23,43ea9f5846c9_23,0,99,/datadrive2/MeViS_release/train/boxes/43ea9f5846c9/23
all spectators watching the game on stage,/datadrive2/MeViS_release/train/JPEGImages/5189d07dc09b,90,640,480,/datadrive2/MeViS_release/train/masks/5189d07dc09b/0,5189d07dc09b_0,0,89,/datadrive2/MeViS_release/train/boxes/5189d07dc09b/0
man spinning and throwing discu,/datadrive2/MeViS_release/train/JPEGImages/5189d07dc09b,90,640,480,/datadrive2/MeViS_release/train/masks/5189d07dc09b/1,5189d07dc09b_1,0,89,/datadrive2/MeViS_release/train/boxes/5189d07dc09b/1
a man turning for a few rounds and throw a ball,/datadrive2/MeViS_release/train/JPEGImages/5189d07dc09b,90,640,480,/datadrive2/MeViS_release/train/masks/5189d07dc09b/2,5189d07dc09b_2,0,89,/datadrive2/MeViS_release/train/boxes/5189d07dc09b/2
men sit on bench to watch game,/datadrive2/MeViS_release/train/JPEGImages/5189d07dc09b,90,640,480,/datadrive2/MeViS_release/train/masks/5189d07dc09b/3,5189d07dc09b_3,0,89,/datadrive2/MeViS_release/train/boxes/5189d07dc09b/3
audience watches the game,/datadrive2/MeViS_release/train/JPEGImages/5189d07dc09b,90,640,480,/datadrive2/MeViS_release/train/masks/5189d07dc09b/4,5189d07dc09b_4,0,89,/datadrive2/MeViS_release/train/boxes/5189d07dc09b/4
girl walking forward from left to right then looking in front,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/0,952f0ee83a37_0,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/0
person sitting in boat,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/1,952f0ee83a37_1,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/1
boat drifting,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/2,952f0ee83a37_2,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/2
people walking on the shore,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/3,952f0ee83a37_3,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/3
people stand and sit on the ship,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/4,952f0ee83a37_4,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/4
the boat stops on the shore and then moves,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/5,952f0ee83a37_5,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/5
boat moving from left to right,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/6,952f0ee83a37_6,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/6
boat moving from right to left,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/7,952f0ee83a37_7,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/7
woman in red walking from left to right and standing for photoing,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/8,952f0ee83a37_8,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/8
woman in red walks from left to right and then stands to take pictures,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/9,952f0ee83a37_9,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/9
boat sailing from shore,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/10,952f0ee83a37_10,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/10
"in the middle of the water behind, the boat sailing to the left",/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/11,952f0ee83a37_11,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/11
the boat on the left in the distance moving to right,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/12,952f0ee83a37_12,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/12
women walk to the right then pose,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/13,952f0ee83a37_13,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/13
the boat move backwards in an arc trajectory,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/14,952f0ee83a37_14,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/14
boat move forward from right to left,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/15,952f0ee83a37_15,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/15
girl moving forward from left-side to right-side then looking in front,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/16,952f0ee83a37_16,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/16
people moving on the shore,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/17,952f0ee83a37_17,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/17
the boat stops on the shore and then shifts,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/18,952f0ee83a37_18,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/18
boat shifting from left-side to right-side,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/19,952f0ee83a37_19,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/19
boat shifting from right-side to left-side,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/20,952f0ee83a37_20,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/20
woman in red moving from left-side to right-side and staying for photoing,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/21,952f0ee83a37_21,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/21
woman in red walks from left-side to right-side and then stands to take pictures,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/22,952f0ee83a37_22,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/22
"in the middle of the water behind, the boat sailing to the left-side",/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/23,952f0ee83a37_23,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/23
the boat on the left-side in the distance shifting to right-side,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/24,952f0ee83a37_24,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/24
women move to the right-side then pose,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/25,952f0ee83a37_25,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/25
the boat shift backwards in an arc trajectory,/datadrive2/MeViS_release/train/JPEGImages/952f0ee83a37,143,1920,1080,/datadrive2/MeViS_release/train/masks/952f0ee83a37/26,952f0ee83a37_26,0,142,/datadrive2/MeViS_release/train/boxes/952f0ee83a37/26
